,name_raw,name,actual,score_actual,guess_orig,score_orig,guess_naive,score_naive,guess_complex,score_complex,dif_orig_naive,dif_orig_complex,dif_naive_complex,,dif_act_orig,dif_act_complex
521,"wilson,_jamie_jaywann:0","Wilson, Jamie Jaywann",,,male,1,mostly_female,4,mostly_female,4,3,3,0,,,
752,"thompson,_loren_b.:0","Thompson, Loren B.",,,female,5,mostly_male,2,mostly_male,2,3,3,0,,,
961,"saucier,_jamie_c.:0","Saucier, Jamie C.",,,male,1,mostly_female,4,mostly_female,4,3,3,0,,,
1811,"brandt,_loren_l.,_jr.:0","Brandt, Loren L., Jr.",,,female,5,mostly_male,2,mostly_male,2,3,3,0,,,
2310,"stone,_jayme_millsap:0","Stone, Jayme Millsap",,,female,5,mostly_male,2,mostly_male,2,3,3,0,,,
4818,"monson,_jamie:0","Monson, Jamie",,,male,1,mostly_female,4,mostly_female,4,3,3,0,,,
5070,"brandon,_jamie_chad:0","Brandon, Jamie Chad",,,male,1,mostly_female,4,mostly_female,4,3,3,0,,,
5127,"hart,_jamie:0","Hart, Jamie",,,male,1,mostly_female,4,mostly_female,4,3,3,0,,,
5736,"broc,_loren_a.:0","Broc, Loren A.",,,female,5,mostly_male,2,mostly_male,2,3,3,0,,,
6899,"pietruska,_jamie_l.:0","Pietruska, Jamie L.",,,male,1,mostly_female,4,mostly_female,4,3,3,0,,,
8333,"christy,_jamie_c.:0","Christy, Jamie C.",,,male,1,mostly_female,4,mostly_female,4,3,3,0,,,
8370,"fries,_jamie_c.:0","Fries, Jamie C.",,,male,1,mostly_female,4,mostly_female,4,3,3,0,,,
8901,"wraight,_jamie_l.:0","Wraight, Jamie L.",,,male,1,mostly_female,4,mostly_female,4,3,3,0,,,
14810,"pugh,_loren_dale:0","Pugh, Loren Dale",,,female,5,mostly_male,2,mostly_male,2,3,3,0,,,
15729,"mobley,_kendal_p.:0","Mobley, Kendal P.",,,male,1,mostly_female,4,mostly_female,4,3,3,0,,,
